Blog	hat	traffic	begins	yours	tour	expensive	apple	parties	cd	daddy	considered	paying	checking	checked	besides	meal	character	childhood	opinion	animals	interest	rough	threw	rush	prayer	shape	colors	career	effect	marriage	bird	grass	strength	september	visiting	officially	becoming	attempt	film	society	younger	ending	background	milk	bathroom	runs	battle	bridge	period	sold	include	spoke	accept	basically	jesus	bill	island	huh	fake	angry	invited	issue	teach	whose	charge	east	creative	continued	rule	tickets	calm	correct	among	whom	sell	ring	discovered	performance	degrees	concert	base	pure	boss	response	tight	perfectly	folks	jack	honestly	midnight	aside	lake	plain	soft	bye	sand	riding	ordered	laughed	sex	answers	confused	extremely	fans	report	feed	jobs	anniversary	block	solid	blow	signs	musical	cost	nor	goodbye	flat	david	avoid	balance	ha	recommend	airport	joined	trick	progress	ear	via	throwing	evil	bringing	comfort	easter	trips	football	flight	rose	attack	enter	serve	program	lower	member	pretend	aware	forgotten	distance	tall	obvious	gifts	paul	familiar	review	edge	america	houses	likely	seven	worried	disappointed	despite	perhaps	relax	w	security	describe	pushed	offered	shots	topic	odd	damn	grab	annoying	stress	pages	teaching	celebration	giant	hurts	manage	police	bank	sometime	row	adventure	counting	burn	prepare	filling	pushing	understanding	bike	interview	president	visited	normally	holy	accident	suck	dying	typical	cell	plastic	lessons	nobody	guide	female	river	thrown	text	cookies	personally	patient	smaller	waste	french	reminds	impossible	balls	stomach	passion	letters	excitement	artist	streets	inspired	yard	knowledge	ocean	faster	leading	successful	score	ah	smoke	flash	ass	ups	passing	pride	fashion	hardly	camp	thick	blessed	mirror	saved	activity	searching	pressure	product	sigh	wave	catching	degree	wash	fail	leg	dust	central	classic	talks	neighborhood	greatest	included	sets	square	challenge	government	items	highly	grateful	experiences	struggle	plenty	forced	stone	load	bread	upset	signed	parent	drama	routine	drinks	golden	research	account	fault	lying	lift	bet	teachers	rate	painting	fever	personality	oil	complain	burning	education	rolling	walks	thin	garage	expecting	youtube	suppose	downtown	sudden	cutting	driver	option	smiling	sunny	glasses	dishes	thanksgiving	web	tend	library	buddy	granted	session	indeed	pleasure	wise	desire	bite	emotional	match	jumping	toy	quit	heads	someday	traveling	related	jumped	listened	google	screaming	concept	ugly	holds	prayers	cash	decent	sides	forth	conversations	design	toys	gas	minor	van	prefer	info	shake	channel	ignore	shirts	festival	fantastic	lets	cousins	thousand	grace	angel	media	net	videos	bands	model	fighting	wine	selling	boots	freedom	neck	creating	material	nowhere	target	button	content	lyrics	annual	exact	pulling	slide	wrapped	breaks	deserve	drunk	prove	answered	matters	bother	loose	sounded	belly	stands	limited	lonely	swing	hero	boyfriend	concerned	attitude	receive	puts	regret	professional	chest	particularly	shock	george	forgive	fancy	goodness	therefore	split	repeat	raised	popular	risk	climb	returned	clouds	attend	agreed	ability	thus	hated	promised	flower	flies	fed	delicious	directly	proper	tom	stairs	james	egg	pregnant	sadly	hearts	master	plate	remain	eggs	flip	rare	heading	vote	birds	sunshine	diet	audience	groups	hug	curious	rocks	experienced	meat	climbing	fabulous	merry	touched	laundry	truck	continues	mistake	becomes	glory	various	horse	culture	ticket	necessary	express	fallen	press	episode	vs	beer	entry	collection	crap	exercise	presence	released	reaction	male	toilet	humor	california	physical
And you'll see me waiting for you on our corner of the street	5	3	4	7	5	16	2	6	4	3	6	6	1	12	4	3	10	2	1	1	3	3	4	16	7	0	0	1	2	3	2	2	6	9	3	5	4	7	0	2	5	10	5	4	2	6	10	6	22	2	0	3	24	3	9	5	5	31	2	15	3	15	5	3	4	30	7	10	6	9	7	2	8	9	1	11	2	21	5	7	2	10	16	2	3	1	6	7	4	19	7	0	8	5	38	2	5	13	8	4	3	3	2	2	24	0	0	3	2	2	3	0	1	6	8	7	1	2	2	2	7	0	7	8	3	3	3	0	3	5	2	0	2	0	1	3	0	3	3	1	0	0	10	3	3	8	14	1	7	1	0	1	0	0	2	1	2	1	7	2	2	0	3	8	11	5	4	2	3	6	0	236	3	1	18	3	6	33	1	10	0	11	3	4	3	1	0	7	4	4	4	3	4	22	5	6	0	4	1	3	6	3	0	2	17	6	4	7	1	3	2	6	3	4	0	17	1	1	5	7	4	4	2	2	0	3	1	2	2	0	12	2	3	12	56	5	1	20	5	5	12	4	6	80	4	3	1	4	2	1	12	0	212	2	1	1	6	11	5	2	4	3	13	0	22	1	1	15	10	0	2	9	12	0	2	1	4	1	2	2	2	0	5	3	0	38	0	3	2	5	3	9	11	23	4	2	7	1	2	1	5	6	3	1	4	0	4	2	5	1	4	5	11	1	2	4	1	3	6	2	4	3	2	1	5	10	2	4	1	3	7	14	6	8	7	0	3	0	0	1	2	1	7	1	12	4	7	4	13	1	2	2	3	4	0	7	3	6	4	25	3	2	8	2	13	35	3	3	1	1	1	1	6	1	12	12	3	3	3	13	3	0	0	1	3	4	0	2	1	6	0	2	1	1	7	7	4	1	5	7	0	1	0	3	2	5	0	3	7	3	3	0	1	13	0	2	0	4	0	8	5	6	10	2	2	0	7	2	0	4	0	7	4	0	4	2	10	1	2	4	5	0	9	2	4	3	3	0	8	7	4	4	0	3	1	1	3	3	0	7	0	0	5	4	0	6	1	6	0	0	11	9	1	0	1	4	0	1	1	2	0	1	1	13	3	0	2	2	12	20	2	26	4	0	3	5	5	24	1	0	4
Transitions	1	5	4	7	0	0	0	1	0	0	1	1	7	5	0	7	0	0	3	0	6	2	0	5	1	3	2	1	0	0	5	3	1	3	4	5	4	3	2	0	1	1	1	0	3	0	1	3	2	1	2	2	1	1	0	6	8	5	1	0	2	4	3	0	3	2	6	1	3	4	3	0	2	0	1	13	3	2	2	2	2	1	2	0	1	0	14	0	0	0	0	2	5	0	2	2	0	3	0	10	0	0	0	2	19	1	4	1	2	1	3	2	0	0	0	3	1	0	5	2	0	2	9	1	0	7	7	5	3	1	2	4	5	1	2	1	1	3	4	1	1	3	0	2	3	0	1	1	0	1	2	1	1	2	2	2	1	0	2	2	0	0	4	2	1	1	0	1	5	7	1	10	0	4	2	3	0	2	0	0	0	2	3	1	1	3	4	1	1	2	0	2	1	7	3	7	0	0	2	0	3	2	1	1	1	0	3	5	12	4	1	0	0	2	1	1	0	4	1	1	2	0	1	4	1	1	0	7	6	3	3	1	1	3	0	3	3	0	1	1	0	4	0	0	3	1	1	0	4	5	2	6	21	4	3	1	1	1	0	3	0	0	0	2	0	1	1	5	2	5	3	2	1	0	1	0	0	0	5	2	1	4	3	1	12	3	3	2	1	0	0	1	7	0	2	0	3	3	0	1	2	1	0	3	1	3	0	4	7	6	4	2	1	2	0	1	3	3	6	6	0	1	3	1	1	0	2	0	1	0	3	1	2	4	0	6	0	0	0	2	0	3	2	2	3	0	6	0	0	0	0	0	1	4	4	2	1	1	3	0	4	0	0	0	3	3	0	0	2	2	0	3	1	0	1	5	2	1	4	3	0	2	7	0	0	3	3	0	1	0	0	0	0	3	0	0	1	0	0	3	3	3	3	2	1	1	2	4	0	0	3	3	1	0	1	3	1	2	4	2	0	0	0	2	0	1	0	1	1	6	1	3	1	1	0	2	0	2	5	4	0	0	1	0	1	2	5	1	0	6	0	1	1	2	3	0	7	6	2	14	3	1	0	0	2	3	2	0	2	0	9	1	9	3	1	0	0	1	0	1	1	3	0	1	2	4	2	0	1	11	1	1	4	0	1	3	3	3	0	0	3
Nana Goes Lala	1	1	2	3	3	3	3	5	4	1	4	4	4	4	20	10	1	3	3	5	6	2	1	5	2	3	0	4	1	3	2	2	7	6	1	10	3	10	2	0	7	7	1	4	1	3	4	1	9	2	4	1	3	2	4	4	5	18	1	15	0	13	7	5	2	5	4	1	3	10	6	3	1	17	5	3	7	5	1	25	2	2	19	2	2	6	3	4	6	2	7	1	5	3	7	2	1	6	5	10	2	4	1	4	3	2	4	5	1	4	1	2	7	0	13	3	1	5	4	5	20	0	7	3	1	1	1	5	3	8	2	6	1	4	0	6	3	0	0	0	1	2	4	8	1	0	3	2	3	7	0	6	1	4	1	0	2	0	6	7	18	15	3	1	1	9	3	2	6	12	3	45	2	8	8	5	12	1	3	5	3	6	14	3	1	1	3	1	7	0	0	6	0	9	2	1	0	0	5	1	0	4	0	1	6	25	0	6	2	3	1	2	3	0	4	19	2	4	5	4	1	3	2	5	0	3	6	0	3	1	2	2	1	5	49	3	3	11	4	2	4	3	16	1	3	6	4	5	2	3	4	1	15	3	3	4	6	4	2	4	2	4	4	0	0	1	1	3	1	3	2	2	0	2	0	0	1	0	4	5	6	6	0	12	2	16	4	3	3	4	6	2	5	2	0	0	8	5	2	7	6	4	1	2	2	0	0	1	12	0	6	2	0	5	1	2	1	3	0	0	15	2	3	13	22	4	1	3	1	2	2	15	1	1	1	4	1	0	0	1	1	0	2	2	4	3	0	4	6	3	4	1	3	1	1	2	0	4	9	2	5	3	0	2	4	2	2	1	0	5	7	0	7	0	2	2	6	2	4	10	2	2	4	2	2	0	3	9	5	4	1	3	0	2	3	2	6	1	5	9	2	1	2	2	6	3	0	3	2	0	2	0	1	7	2	3	9	1	0	2	0	3	2	1	3	0	7	5	0	4	0	1	1	4	3	3	5	3	4	2	0	4	12	5	0	0	1	1	1	3	4	0	3	0	2	5	10	13	1	0	2	7	1	1	2	2	3	2	6	2	4	4	1	0	0	5	4	0	5	0	2	1	2	1	3	0	1	6	5	7	6	27	3	6	0	0	5	5	0	0	1
The Jackson Family Blog	14	0	18	2	11	5	7	5	2	206	9	3	16	4	5	8	4	4	12	35	1	9	8	9	16	2	7	1	8	16	13	14	5	8	15	4	6	25	13	7	4	2	13	10	25	10	7	11	4	5	6	3	2	2	26	25	3	8	3	12	7	7	4	6	5	4	4	8	3	16	3	7	7	3	6	20	4	14	9	9	6	3	2	44	8	3	20	1	6	4	3	30	1	2	5	26	30	10	7	14	3	3	10	3	1	14	5	6	5	3	9	4	4	3	2	2	10	3	0	6	216	6	7	17	14	3	4	5	16	10	12	6	42	9	8	4	10	10	7	11	23	4	6	2	6	5	5	11	2	53	1	8	12	4	30	22	0	3	11	5	7	21	1	2	7	2	5	4	18	2	10	4	6	2	2	2	9	15	25	0	1	6	5	2	14	17	14	3	1	7	6	4	4	7	6	18	8	9	2	5	8	4	2	19	5	1	9	4	26	12	1	12	2	3	5	5	8	2	5	3	9	5	4	0	3	4	1	32	1	10	2	4	0	1	6	2	7	1	5	7	8	7	16	23	3	7	9	1	2	4	4	10	13	2	1	2	6	7	11	2	8	10	4	14	2	7	10	10	3	8	14	7	7	1	3	3	8	6	6	20	9	4	2	2	6	6	2	1	4	0	0	11	3	14	9	20	11	3	7	1	9	7	7	4	1	26	2	4	1	49	8	12	9	2	5	7	6	0	38	5	5	2	10	8	6	2	7	1	5	14	4	2	27	12	0	13	1	5	0	1	3	2	17	4	11	2	11	16	2	5	4	0	5	5	5	0	42	2	33	8	2	0	8	37	1	2	21	3	31	3	12	7	20	6	4	9	19	3	8	5	15	8	2	4	4	4	8	3	53	10	7	23	18	2	2	0	3	10	3	2	4	4	12	5	7	2	16	21	0	11	1	7	2	0	2	5	4	8	1	5	1	8	0	0	3	7	3	2	12	5	3	10	6	2	3	1	0	14	3	8	13	13	2	3	5	8	28	4	5	6	7	14	4	33	4	5	31	6	10	2	8	11	14	3	5	27	3	12	18	25	7	1	3	44	2	3	2	4	10	13	13	11	2	2	7	0	2	4	32	2	8	7	10	0	4	7	2	11	2	12	2
Blokeish me	2	0	0	1	0	0	0	0	0	4	2	1	0	1	8	1	3	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	2	2	1	0	0	0	1	1	1	1	1	3	1	0	0	0	2	0	0	0	0	2	2	2	1	3	4	0	0	1	0	0	1	0	0	2	0	1	0	0	0	2	2	0	1	0	1	0	2	2	2	1	6	0	0	0	0	2	0	0	0	0	0	1	0	1	0	2	4	4	1	2	0	0	0	1	3	0	0	0	2	0	0	1	2	0	1	1	1	3	0	8	0	4	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	4	1	0	0	3	2	0	0	1	0	8	0	0	0	0	0	6	0	0	4	1	0	0	2	2	0	0	1	1	0	0	1	4	0	0	5	0	2	0	0	0	0	1	0	1	0	2	0	0	2	0	0	0	0	1	0	0	3	0	2	0	0	0	3	0	0	0	2	0	1	0	3	1	27	1	0	0	1	1	0	0	2	0	0	1	2	0	0	0	1	1	0	0	1	4	0	1	2	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	2	1	0	0	5	0	0	0	0	0	1	3	1	1	2	1	0	2	1	0	0	1	1	2	1	0	0	1	0	8	0	0	0	2	6	0	0	1	3	0	0	0	3	2	0	3	5	1	1	1	1	1	0	2	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	1	3	0	0	2	1	3	0	0	0	1	0	0	1	0	0	2	0	3	1	2	0	0	0	0	0	1	0	2	0	0	2	0	0	4	0	1	1	3	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	9	2	0	5	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	2	0	1	0	3	0	0	0	0	0	1	0	1	0	2	0	0	4	0	0	0	1	0	0	0	4	1	0	0	0
HK	1	4	2	1	184	6	5	8	9	0	7	4	14	17	0	24	5	1	4	2	4	2	8	1	0	3	1	4	11	3	2	7	3	13	14	5	0	0	15	3	2	7	11	4	5	8	2	5	7	10	11	0	2	0	0	11	11	2	0	0	37	2	10	2	7	11	7	5	1	11	1	5	29	9	1	5	5	71	6	52	2	8	1	1	2	7	16	4	9	10	0	12	2	1	0	5	1	7	0	2	1	1	10	10	8	5	4	26	15	5	2	6	34	1	8	1	3	11	1	3	0	0	53	20	0	2	1	5	1	0	9	1	4	23	9	61	11	0	3	11	2	3	40	1	0	1	6	2	1	7	9	12	1	2	13	10	12	8	1	1	5	12	3	2	8	2	0	11	30	1	4	10	1	2	3	4	16	10	5	1	5	8	5	0	12	7	3	1	12	2	1	0	2	5	15	16	17	15	3	0	0	3	2	1	5	10	2	4	18	2	13	4	7	0	5	1	21	2	3	4	3	8	6	2	7	12	4	4	2	4	1	5	7	24	0	1	1	4	8	0	5	1	8	10	1	0	3	2	17	0	0	7	1	0	2	0	1	0	4	0	4	1	1	0	4	6	8	17	11	3	2	6	0	2	2	27	2	2	0	8	2	5	0	1	5	39	1	2	2	3	1	1	31	14	7	3	3	1	7	9	0	6	4	0	0	0	4	4	0	26	3	2	23	7	0	6	4	4	2	2	0	3	13	0	3	2	12	4	0	9	3	14	3	3	2	3	0	0	5	2	2	1	1	5	0	4	0	1	5	1	6	9	8	0	7	2	133	2	1	0	1	0	10	38	14	1	5	1	2	0	9	6	0	39	10	0	14	4	1	0	0	4	1	2	1	0	0	4	40	12	0	4	0	3	0	4	1	1	0	7	1	5	1	22	2	0	5	1	3	7	0	2	0	0	6	4	5	1	4	0	4	1	5	4	1	2	16	5	1	7	7	15	5	1	3	1	4	5	1	6	18	0	0	8	3	3	5	0	0	2	1	5	1	9	9	0	4	2	3	2	4	3	9	0	2	1	1	14	2	24	1	2	22	91	0	0	1	2	17	2	5	4	4	1	5	9	0	0	41	0	6	10	0	4	3	2	0	7	2	27	0
Jackson Dye Family	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0	6	0	1	0	1	0	0	0	1	0	1	1	3	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	2	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Napoleon Solo Media	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Life and Times of David Ferrell	0	0	2	4	4	0	0	0	4	0	0	0	0	0	1	2	14	2	7	2	0	0	0	1	12	1	4	3	2	2	1	0	3	0	0	1	1	0	75	1	0	4	4	0	0	1	4	5	6	1	3	3	3	17	99	1	1	3	4	0	3	4	2	2	0	0	0	1	0	4	0	2	4	8	1	0	0	8	0	21	1	2	2	3	0	0	1	1	0	2	4	2	2	0	0	0	0	1	0	4	5	2	2	5	2	2	1	0	0	1	1	2	1	0	1	1	0	58	1	2	0	10	0	0	0	0	2	1	0	9	2	1	2	0	2	0	2	0	2	6	0	4	1	0	4	1	1	1	1	6	10	1	10	21	7	1	1	0	0	2	10	5	1	1	0	6	0	2	1	8	3	0	0	0	0	0	1	4	1	1	1	2	0	1	2	1	0	2	4	1	2	2	0	0	2	3	2	25	1	0	1	2	0	0	1	0	1	1	4	0	2	0	3	0	1	1	0	2	0	0	0	27	2	0	3	2	3	1	5	1	0	5	2	2	2	1	2	0	0	0	2	3	0	1	1	8	0	5	1	2	0	1	0	0	2	1	2	2	0	1	0	2	1	3	6	4	1	1	8	2	1	5	2	5	5	1	1	0	0	1	1	2	0	1	4	0	4	1	0	0	0	5	0	4	0	0	2	1	1	5	0	1	1	0	1	0	9	6	1	3	1	2	0	0	0	1	0	0	3	0	0	1	0	5	3	1	1	0	9	0	0	2	2	0	1	2	0	2	2	0	2	1	1	3	0	3	3	1	0	1	1	8	0	0	1	3	0	0	4	2	1	2	0	6	1	0	3	0	14	0	2	2	1	10	0	0	1	0	0	9	0	3	1	3	0	1	1	3	1	2	0	2	3	0	9	3	1	3	4	0	0	4	0	0	1	1	0	2	1	0	2	4	0	2	0	0	0	0	0	2	1	0	5	1	2	6	0	3	0	2	2	4	0	2	5	7	4	0	0	2	3	1	0	0	0	0	0	0	1	7	1	1	1	1	1	1	0	1	0	0	1	4	3	1	1	0	7	0	0	2	3	2	0	0	1	1	4	31	4	1	1	1	3	1	4	0	18	1	7	8	1	0	1	16	2	0	2	0	3	0	1
A Bunch of Barkers	3	1	0	3	3	1	1	2	1	73	1	1	7	4	1	8	3	0	5	6	1	4	2	3	24	2	4	4	2	5	1	6	0	4	4	9	1	1	0	0	3	1	3	11	0	0	0	1	0	0	5	2	4	4	38	2	0	3	1	3	2	1	1	2	8	0	3	3	4	1	5	4	1	4	1	0	0	0	3	0	0	3	1	2	6	3	0	0	13	1	1	1	3	2	11	1	15	1	3	0	0	5	3	3	3	8	3	7	2	2	2	0	1	1	0	0	0	1	1	2	2	7	2	2	2	2	5	0	3	2	1	3	18	4	0	5	0	1	3	6	1	1	2	4	0	1	0	3	0	8	0	1	0	1	3	4	2	0	4	0	0	0	0	0	2	0	2	3	9	0	0	0	1	2	0	2	2	4	0	1	1	4	0	1	3	1	6	1	2	2	3	0	7	0	0	0	0	2	0	2	2	0	1	0	4	0	3	0	1	3	0	4	1	20	0	1	0	0	0	1	1	5	5	3	1	0	1	10	1	0	1	2	1	0	0	0	1	0	3	5	0	1	1	2	0	14	1	2	2	0	1	1	2	4	2	1	1	2	5	2	2	5	2	1	2	2	1	0	1	1	2	2	0	0	5	5	0	1	7	4	3	1	10	2	10	0	0	0	0	1	2	2	5	7	2	6	7	5	0	0	1	0	0	4	1	6	5	1	3	2	0	0	0	0	6	0	2	2	12	0	0	1	10	0	8	0	2	0	4	1	2	1	6	7	2	0	11	6	0	3	0	1	1	1	2	3	12	0	1	0	3	2	1	8	0	0	0	3	3	0	0	4	0	2	5	9	18	0	18	6	0	1	3	0	3	0	0	1	2	0	0	0	0	0	5	3	3	1	3	2	3	13	0	2	3	2	1	3	1	1	1	1	13	1	1	0	12	0	0	3	0	1	3	2	6	1	2	2	0	3	2	15	3	0	1	2	0	0	9	2	0	4	0	0	1	2	3	3	3	3	2	3	1	0	6	0	6	14	0	4	0	1	2	8	1	0	1	5	1	0	1	0	1	8	1	7	0	0	5	0	0	3	5	1	3	0	1	3	1	10	0	4	0	1	0	0	3	1	0	0	0	0	1	3	0	7	1	2	2	1	2
Single woman on a mission	1	5	3	0	0	4	2	1	1	0	4	5	3	5	4	1	0	0	9	5	2	10	8	0	0	4	2	8	3	4	0	4	2	3	5	8	2	3	0	0	5	4	10	7	3	1	1	0	8	2	3	3	4	6	0	3	2	2	0	2	1	7	5	1	6	0	1	1	1	0	1	4	0	6	5	4	5	0	10	0	3	0	5	12	2	1	0	0	7	2	0	0	6	4	0	2	0	1	2	4	1	2	2	0	8	0	11	1	1	2	3	5	0	0	2	0	5	0	5	2	0	5	3	3	0	5	2	3	6	8	1	1	0	5	5	1	6	3	1	1	11	3	1	2	2	4	3	2	2	0	0	0	2	3	0	1	1	1	3	0	0	2	4	5	2	1	2	6	0	2	4	19	2	2	20	1	19	0	0	4	2	4	3	4	3	0	3	1	5	0	2	1	1	8	0	0	16	1	1	17	3	1	12	2	1	1	2	2	1	1	2	8	3	2	3	4	3	1	2	2	5	0	0	1	1	0	0	39	0	4	6	3	1	2	0	3	2	10	4	0	3	0	1	0	3	0	0	1	1	0	5	0	32	0	0	14	8	1	2	0	0	0	2	9	1	0	1	1	2	0	3	2	2	1	0	2	0	1	2	0	8	2	1	2	3	3	0	8	1	8	11	1	2	17	6	7	0	5	1	2	1	11	0	2	1	16	4	0	1	3	0	2	2	5	0	1	0	13	10	2	3	1	0	1	4	1	1	0	4	1	1	2	7	5	6	0	1	0	0	4	1	0	1	0	2	0	0	4	2	2	2	4	4	0	3	0	0	4	0	1	5	2	1	1	7	0	0	1	0	0	0	1	1	0	2	0	5	2	0	0	6	1	2	0	0	1	2	0	3	5	1	0	2	2	5	1	4	0	2	3	2	1	1	0	2	4	2	0	6	4	2	2	2	2	6	2	1	1	0	3	0	2	1	2	2	0	1	2	2	0	2	5	4	0	0	4	1	1	3	1	1	5	0	0	0	0	0	1	0	0	27	0	1	0	9	2	0	2	8	0	2	0	4	1	2	6	2	1	0	2	0	1	8	2	4	3	0	0	5	0	0	3	0	0	1	0	0	0	4	1	0	9	2	0	0	1	1	3	0	2	2
BMer on Music	2	8	1	1	146	2	1	0	27	1	5	3	10	11	15	0	1	2	21	0	4	2	3	0	10	1	0	2	5	7	0	0	17	2	0	0	5	0	0	2	3	6	7	0	0	5	12	4	1	11	11	5	1	37	20	3	1	0	3	14	2	10	0	0	2	9	18	3	1	10	1	0	1	0	5	2	7	14	2	9	3	3	0	7	17	4	1	5	7	3	1	6	5	4	0	0	0	2	0	0	2	1	1	59	0	0	5	1	0	106	7	3	6	1	1	1	3	33	0	1	1	9	0	8	1	0	4	6	6	1	10	1	0	0	0	2	2	31	2	0	0	6	9	0	2	2	0	4	5	0	4	3	39	14	1	0	5	8	2	13	15	0	0	3	9	7	5	1	1	6	2	2	4	10	0	6	0	1	13	3	1	1	0	2	2	4	4	11	2	0	2	0	0	24	3	0	1	6	1	1	45	17	1	1	0	7	0	4	0	4	2	0	11	1	9	9	0	6	4	1	0	14	1	0	15	4	1	0	1	8	6	5	10	0	0	3	0	2	2	3	10	1	0	3	1	1	1	3	0	2	20	4	0	1	2	1	0	4	3	1	0	2	8	0	5	9	8	0	0	0	2	1	0	0	7	14	5	4	2	0	3	17	5	4	0	3	1	5	2	2	4	6	0	0	1	0	0	0	0	3	6	0	2	1	4	5	12	1	1	7	0	0	1	2	1	0	1	0	0	3	0	0	11	0	0	1	1	2	2	1	3	1	2	0	8	8	4	0	2	1	27	2	17	11	0	1	0	1	0	3	5	1	1	0	2	9	3	2	6	0	1	0	7	20	0	7	0	2	15	0	2	0	5	325	1	5	2	4	0	0	1	0	5	3	1	0	2	85	0	0	2	2	2	3	1	5	8	1	1	2	2	11	0	6	4	0	4	5	0	2	1	1	3	0	1	0	2	2	0	4	1	1	10	4	2	2	21	10	2	1	2	1	1	4	1	3	1	0	0	0	0	3	0	1	1	4	0	1	0	3	0	3	1	0	0	2	2	1	2	1	0	7	2	1	0	9	1	3	5	0	0	0	0	1	5	0	1	5	0	1	6	8	1	2	8	2	0	4	8	0	8	8	1	6	58	1	0	0	3	5	4
